Variable                       |Posición|Etiqueta                                                                                                |Nivel de medición|Rol    |Ancho de columna|Alineación|Formato de impresión|Formato de grabación|Valores perdidos|
N°_diada                       |1       |<ninguno>                                                                                               |Nominal          |Entrada|8               |Derecha   |F8                  |F8                  |                |
BienestarV1                    |2       |<ninguno>                                                                                               |Nominal          |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
BienestarV2                    |3       |<ninguno>                                                                                               |Nominal          |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
BienestarAv                    |4       |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
Fecha_entrevista               |5       |Fecha Primera entrevista                                                                                |Escala           |Entrada|8               |Derecha   |EDATE8              |EDATE8              |                |
Hora_inicio                    |6       |Hora Inicio entrevista                                                                                  |Escala           |Entrada|8               |Derecha   |TIME5               |TIME5               |                |
Hora_termino                   |7       |Hora Término entrevista                                                                                 |Escala           |Entrada|8               |Derecha   |TIME5               |TIME5               |                |
Observador_1                   |8       |Observador Primera Entrevista                                                                           |Nominal          |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
Nombre_bebé                    |9       |<ninguno>                                                                                               |Nominal          |Entrada|12              |Izquierda |A11                 |A11                 |                |
Apellido1_bebé                 |10      |<ninguno>                                                                                               |Nominal          |Entrada|10              |Izquierda |A15                 |A15                 |                |
Apellido2_bebé                 |11      |<ninguno>                                                                                               |Nominal          |Entrada|9               |Izquierda |A12                 |A12                 |                |
Género_bebé                    |12      |<ninguno>                                                                                               |Nominal          |Entrada|8               |Derecha   |F1                  |F1                  |                |
Fecha_nac_bebé                 |13      |<ninguno>                                                                                               |Escala           |Entrada|12              |Derecha   |EDATE8              |EDATE8              |                |
Edad_bebé_1                    |14      |Edad bebé a primera entrevista                                                                          |Escala           |Entrada|5               |Derecha   |F5                  |F5                  |                |
Etnia_bebé                     |15      |<ninguno>                                                                                               |Nominal          |Entrada|8               |Derecha   |F8                  |F8                  |                |
Grupo_étnico_bebé              |16      |<ninguno>                                                                                               |Nominal          |Entrada|8               |Derecha   |F8                  |F8                  |                |
Cuidado_alt_previo             |17      |<ninguno>                                                                                               |Nominal          |Entrada|8               |Derecha   |F8                  |F8                  |                |
Asist_SC                       |18      |will the child attend daycare?                                                                          |Nominal          |Entrada|9               |Derecha   |F8                  |F8                  |                |
Razón_entrada_SC               |19      |Razón entrada a sala cuna                                                                               |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
Jornada_SalaC                  |20      |schedule of the child in daycare                                                                        |Nominal          |Entrada|8               |Derecha   |F8                  |F8                  |                |
Otro_cuidado                   |21      |other type of care for the child?                                                                       |Nominal          |Entrada|8               |Derecha   |F8                  |F8                  |                |
Tipo_cuidado_alt               |22      |which type of alternative care                                                                          |Nominal          |Entrada|16              |Derecha   |F8                  |F8                  |999             |
Nombre_cuidador_pr             |23      |<ninguno>                                                                                               |Nominal          |Entrada|8               |Izquierda |A22                 |A22                 |                |
Apellido1_cuidador_pr          |24      |<ninguno>                                                                                               |Nominal          |Entrada|8               |Izquierda |A15                 |A15                 |                |
Apellido2_cuidador_pr          |25      |<ninguno>                                                                                               |Nominal          |Entrada|11              |Izquierda |A15                 |A15                 |                |
Relación_cuidador_bebé         |26      |<ninguno>                                                                                               |Nominal          |Entrada|8               |Derecha   |F8                  |F8                  |                |
Fecha_nac_cuidador             |27      |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |EDATE8              |EDATE8              |                |
Edad_cuidador_1                |28      |<ninguno>                                                                                               |Escala           |Entrada|9               |Derecha   |F5                  |F5                  |                |
Edad_cuidador_2                |29      |Edad cuidador principal a primera grabación EN                                                          |Nominal          |Entrada|8               |Derecha   |F8                  |F8                  |                |
Estado_civ_cuidador_pr         |30      |<ninguno>                                                                                               |Nominal          |Entrada|8               |Derecha   |F8                  |F8                  |                |
Estado_civ_cat                 |31      |single vs couple                                                                                        |Nominal          |Entrada|20              |Derecha   |F8.2                |F8.2                |                |
Ocupación_cuidador_pr          |32      |<ninguno>                                                                                               |Nominal          |Entrada|21              |Derecha   |F8                  |F8                  |                |
occupationdic                  |33      |occupation dicotomica                                                                                   |Escala           |Entrada|15              |Derecha   |F8.2                |F8.2                |                |
altcaregiverdic                |34      |cuidador alternativo dicotomica                                                                         |Escala           |Entrada|9               |Derecha   |F8.2                |F8.2                |                |
Jornada_laboral_cuid_pr        |35      |<ninguno>                                                                                               |Nominal          |Entrada|8               |Derecha   |F8                  |F8                  |                |
Nivel_educ_cuidador_pr         |36      |<ninguno>                                                                                               |Nominal          |Entrada|8               |Derecha   |F8                  |F8                  |                |
Etnia_cuidador_pr              |37      |<ninguno>                                                                                               |Nominal          |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
Grupo_étnico_cuidador_pr       |38      |<ninguno>                                                                                               |Nominal          |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
NSE_familia                    |39      |<ninguno>                                                                                               |Nominal          |Entrada|15              |Derecha   |F8.2                |F8.2                |                |
N_familiares                   |40      |Número de familiares                                                                                    |Nominal          |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
Familiar1_RelaciónNiño         |41      |<ninguno>                                                                                               |Nominal          |Entrada|15              |Derecha   |F8.2                |F8.2                |                |
Familiar1_FechaNac             |42      |<ninguno>                                                                                               |Escala           |Entrada|14              |Derecha   |DATE11              |DATE11              |                |
Familiar1_EstadoCiv            |43      |<ninguno>                                                                                               |Nominal          |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
Familiar1_Ocupación            |44      |<ninguno>                                                                                               |Nominal          |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
Familiar1_NivelEduc            |45      |<ninguno>                                                                                               |Nominal          |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
Familiar1_GrupoEtnico          |46      |<ninguno>                                                                                               |Nominal          |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
